encoder.body.blocks.12.norm2.weight	torch.Size([512])
encoder.body.blocks.12.norm2.bias	torch.Size([512])
encoder.body.blocks.12.mlp.w1.weight	torch.Size([1536, 512])
encoder.body.blocks.12.mlp.w1.bias	torch.Size([1536])
encoder.body.blocks.12.mlp.w2.weight	torch.Size([1536, 512])
encoder.body.blocks.12.mlp.w2.bias	torch.Size([1536])
encoder.body.blocks.12.mlp.ffn_ln.weight	torch.Size([1536])
encoder.body.blocks.12.mlp.ffn_ln.bias	torch.Size([1536])
encoder.body.blocks.12.mlp.w3.weight	torch.Size([512, 1536])
encoder.body.blocks.12.mlp.w3.bias	torch.Size([512])
encoder.body.blocks.13.gamma_1	torch.Size([512])
encoder.body.blocks.13.gamma_2	torch.Size([512])
encoder.body.blocks.13.norm1.weight	torch.Size([512])
encoder.body.blocks.13.norm1.bias	torch.Size([512])
encoder.body.blocks.13.attn.q_bias	torch.Size([512])
encoder.body.blocks.13.attn.v_bias	torch.Size([512])
encoder.body.blocks.13.attn.q_proj.weight	torch.Size([512, 512])
encoder.body.blocks.13.attn.k_proj.weight	torch.Size([512, 512])
encoder.body.blocks.13.attn.v_proj.weight	torch.Size([512, 512])
encoder.body.blocks.13.attn.proj.weight	torch.Size([512, 512])
encoder.body.blocks.13.attn.proj.bias	torch.Size([512])
encoder.body.blocks.13.norm2.weight	torch.Size([512])
encoder.body.blocks.13.norm2.bias	torch.Size([512])
encoder.body.blocks.13.mlp.w1.weight	torch.Size([1536, 512])
encoder.body.blocks.13.mlp.w1.bias	torch.Size([1536])
encoder.body.blocks.13.mlp.w2.weight	torch.Size([1536, 512])
encoder.body.blocks.13.mlp.w2.bias	torch.Size([1536])
encoder.body.blocks.13.mlp.ffn_ln.weight	torch.Size([1536])
encoder.body.blocks.13.mlp.ffn_ln.bias	torch.Size([1536])
encoder.body.blocks.13.mlp.w3.weight	torch.Size([512, 1536])
encoder.body.blocks.13.mlp.w3.bias	torch.Size([512])
encoder.body.blocks.14.gamma_1	torch.Size([512])
